datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C1;C2;D;D1_liste;D1_summe_kandidaten;D1_summe_liste_kandidaten;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_7;D1_8;D1_9;D1_10;D1_11;D1_12;D2_liste;D2_summe_kandidaten;D2_summe_liste_kandidaten;D2_1;D2_2;D2_3;D2_4;D2_5;D2_6;D2_7;D2_8;D2_9;D2_10;D2_11;D2_12;D3_liste;D3_summe_kandidaten;D3_summe_liste_kandidaten;D3_1;D3_2;D3_3;D3_4;D3_5;D3_6;D3_7;D3_8;D3_9;D3_10;D4_liste;D4_summe_kandidaten;D4_summe_liste_kandidaten;D4_1;D4_2;D4_3;D4_4;D4_5;D5_liste;D5_summe_kandidaten;D5_summe_liste_kandidaten;D5_1;D5_2;D5_3;D5_4;D5_5;D5_6;D5_7;D5_8;D5_9;D6_liste;D6_summe_kandidaten;D6_summe_liste_kandidaten;D6_1;D7_liste;D7_summe_kandidaten;D7_summe_liste_kandidaten;D7_1;D7_2;D7_3;D7_4;D7_5;D8_liste;D8_summe_kandidaten;D8_summe_liste_kandidaten;D8_1;D8_2;D9_liste;D9_summe_kandidaten;D9_summe_liste_kandidaten;D9_1;D10_liste;D10_summe_kandidaten;D10_summe_liste_kandidaten;D10_1;D11_liste;D11_summe_kandidaten;D11_summe_liste_kandidaten;D11_1;D11_2
12.09.2021;Stadtratswahl;03403000;101;101 Amt für Gebäudewirtschaft und Hochbau;1;1;1123;337;0;1460;604;0;2;602;1783;239;207;446;91;24;27;6;27;2;8;8;3;1;8;2;80;102;182;23;11;26;3;12;10;6;6;0;5;0;;459;269;728;70;48;47;20;8;13;11;52;;;81;65;146;41;15;4;5;;57;22;79;10;1;2;3;0;5;0;1;;32;16;48;16;1;19;20;14;0;0;5;0;16;9;25;6;3;10;10;20;10;;;;;56;33;89;12;21
12.09.2021;Stadtratswahl;03403000;102;102 Jugendfreizeitstätte Bürgerfelde;1;1;1180;256;0;1436;491;0;6;485;1433;205;231;436;128;34;18;14;9;6;5;7;4;3;0;3;91;108;199;28;5;21;4;7;17;20;3;0;3;0;;256;157;413;41;25;22;11;6;3;15;34;;;76;61;137;28;21;4;8;;41;41;82;15;2;4;0;0;5;2;13;;29;25;54;25;7;12;19;10;0;2;0;0;12;10;22;9;1;5;7;12;7;;;;;41;18;59;12;6
12.09.2021;Stadtratswahl;03403000;103;103 Neues Gymnasium;1;1;1066;346;0;1412;548;0;7;541;1599;135;186;321;74;18;29;9;10;3;6;13;18;0;3;3;53;157;210;35;11;62;1;19;9;14;3;0;2;1;;349;273;622;76;42;38;17;9;6;16;69;;;113;132;245;66;39;19;8;;17;24;41;11;6;0;0;0;2;2;3;;21;17;38;17;2;18;20;15;2;1;0;0;8;12;20;10;2;20;11;31;11;;;;;29;22;51;18;4
12.09.2021;Stadtratswahl;03403000;104;104 Neues Gymnasium;1;1;1025;443;0;1468;576;0;3;573;1708;147;158;305;65;17;20;7;10;6;12;7;8;1;2;3;90;118;208;28;9;21;2;10;15;4;19;0;8;2;;479;297;776;83;37;48;30;9;5;19;66;;;153;67;220;36;18;8;5;;33;24;57;14;2;3;2;1;1;0;1;;6;4;10;4;6;11;17;11;0;0;0;0;20;8;28;5;3;9;11;20;11;;;;;31;36;67;21;15
12.09.2021;Stadtratswahl;03403000;105;105 BZTG Ehnernstr.;1;1;1169;257;0;1426;546;0;6;540;1579;202;242;444;127;38;31;3;15;6;4;8;2;2;3;3;84;110;194;47;7;7;1;6;12;9;10;1;7;3;;362;177;539;43;37;26;20;6;2;15;28;;;124;50;174;21;20;2;7;;18;23;41;5;2;5;4;0;3;0;4;;36;6;42;6;6;29;35;25;0;4;0;0;26;8;34;8;0;12;22;34;22;;;;;30;12;42;6;6
12.09.2021;Stadtratswahl;03403000;106;106 Neues Gymnasium;1;1;1159;391;0;1550;547;0;4;543;1600;131;234;365;79;67;36;3;15;1;9;11;3;2;5;3;57;132;189;37;10;20;5;10;17;4;12;10;6;1;;379;269;648;72;48;43;33;11;4;19;39;;;97;94;191;54;23;9;8;;35;35;70;9;6;6;6;0;3;0;5;;20;5;25;5;2;13;15;8;3;1;0;1;13;6;19;5;1;1;6;7;6;;;;;39;32;71;18;14
12.09.2021;Stadtratswahl;03403000;107;107 BZTG;1;1;1203;252;0;1455;442;0;3;439;1291;147;186;333;90;36;18;3;10;6;2;5;11;1;2;2;90;90;180;24;5;19;2;10;15;12;1;0;2;0;;311;123;434;29;24;28;12;2;1;10;17;;;73;59;132;29;19;4;7;;17;21;38;12;3;4;0;1;1;0;0;;44;14;58;14;8;15;23;13;2;0;0;0;20;7;27;6;1;5;4;9;4;;;;;38;19;57;12;7
12.09.2021;Stadtratswahl;03403000;108;108 GS Bürgeresch;1;1;1128;348;0;1476;488;0;3;485;1440;157;175;332;51;39;35;15;6;3;10;7;0;2;5;2;74;67;141;22;4;10;3;10;4;6;4;1;2;1;;369;230;599;49;29;37;29;6;5;27;48;;;111;69;180;24;31;8;6;;46;25;71;9;4;2;3;0;1;0;6;;21;10;31;10;0;12;12;9;1;1;0;1;12;4;16;2;2;10;10;20;10;;;;;28;10;38;3;7
12.09.2021;Stadtratswahl;03403000;109;109 Fachschule für das Handwerk;1;1;1261;401;0;1662;594;0;7;587;1738;190;148;338;48;26;27;4;16;1;10;4;1;0;9;2;104;104;208;29;14;10;1;22;14;9;5;0;0;0;;466;245;711;64;38;53;27;10;8;15;30;;;135;106;241;38;48;12;8;;51;31;82;7;4;4;4;0;6;1;5;;18;6;24;6;1;5;6;3;0;1;1;0;12;17;29;15;2;15;8;23;8;;;;;48;28;76;18;10
12.09.2021;Stadtratswahl;03403000;110;110 GS Bürgeresch;1;1;1298;369;0;1667;561;0;6;555;1642;194;338;532;161;38;42;11;21;7;28;8;6;3;5;8;74;130;204;53;19;15;2;10;14;7;2;1;5;2;;367;229;596;72;43;33;15;7;5;18;36;;;92;59;151;31;16;6;6;;30;20;50;8;5;1;0;0;2;3;1;;3;5;8;5;0;10;10;7;0;3;0;0;16;12;28;8;4;12;1;13;1;;;;;42;8;50;5;3
