datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C1;C2;D;D1_1;D1_3;D1_4;D1_2_1;D1_2_2;D1_2_3;D1_2_4;D1_2_5;D1_2_6;D1_2_7;D1_2_8;D1_2_9;D1_2_10;D2_1;D2_3;D2_4;D2_2_1;D2_2_2;D2_2_3;D2_2_4;D2_2_5;D2_2_6;D2_2_7;D2_2_8;D2_2_9;D2_2_10;D2_2_11;D2_2_12;D3_1;D3_3;D3_4;D3_2_1;D3_2_2;D3_2_3;D3_2_4;D3_2_5;D3_2_6;D3_2_7;D3_2_8;D3_2_9;D3_2_10;D3_2_11;D4_1;D4_3;D4_4;D4_2_1;D4_2_2;D4_2_3;D4_2_4;D4_2_5;D4_2_6;D4_2_7;D4_2_8;D4_2_9;D4_2_10;D4_2_11;D4_2_12;D5_1;D5_3;D5_4;D5_2_1;D5_2_2;D5_2_3;D5_2_4;D5_2_5;D5_2_6;D5_2_7;D5_2_8;D6_1;D6_3;D6_4;D6_2_1;D6_2_2;D6_2_3;D7_1;D7_3;D7_4;D7_2_1;D7_2_2;D7_2_3;D8_1;D8_3;D8_4;D8_2_1;D8_2_2;D8_2_3;D9_1;D9_3;D9_4;D9_2_1;D9_2_2;D10_1;D10_3;D10_4;D10_2_1;D11_4;D12_1;D12_3;D12_4;D12_2_1;D13_1;D13_3;D13_4;D13_2_1;D13_2_2;D14_1;D14_3;D14_4;D14_2_1;D14_2_2;D14_2_3;D15_1;D15_3;D15_4;D15_2_1;D16_1;D16_3;D16_4;D16_2_1;D16_2_2;D16_2_3;D16_2_4
13.09.2026;Stadtratswahl;03403000;101;101 Amt für Gebäudewirtschaft und Hochbau;1;1;1058;361;0;1419;708;0;4;704;2096;376;246;622;52;51;13;10;34;28;47;11;;;176;189;365;70;35;24;16;23;2;5;4;2;4;2;2;112;84;196;32;3;7;6;0;10;15;1;5;3;2;266;86;352;29;24;6;2;7;5;5;7;1;;;;58;25;83;5;7;3;1;8;1;;;95;55;150;25;30;;98;44;142;22;22;;30;8;38;4;4;0;18;13;31;13;;9;0;9;0;;16;9;25;9;2;0;2;0;;39;12;51;2;4;6;10;14;24;14;5;1;6;1;0;0;0
13.09.2026;Stadtratswahl;03403000;102;102 Jugendfreizeitstätte Bürgerfelde;1;1;1123;265;0;1388;613;0;9;604;1774;276;132;408;45;9;10;7;17;12;28;4;;;157;190;347;102;33;11;7;16;2;3;2;3;11;0;0;71;88;159;43;11;10;6;2;3;1;2;0;6;4;229;86;315;27;26;3;3;3;6;5;8;5;;;;22;23;45;5;8;3;6;0;1;;;148;84;232;29;55;;64;27;91;10;17;;11;20;31;18;2;0;24;10;34;10;;0;6;6;6;;15;6;21;6;1;3;4;3;;23;23;46;13;9;1;15;10;25;10;5;5;10;3;1;1;0
13.09.2026;Stadtratswahl;03403000;103;103 Neues Gymnasium;1;1;1012;354;0;1366;639;0;7;632;1870;398;175;573;57;14;8;15;27;20;26;8;;;159;165;324;81;30;10;6;22;4;3;3;4;1;1;0;97;94;191;56;4;7;6;3;7;3;4;1;1;2;222;104;326;31;26;14;5;4;7;1;8;8;;;;26;38;64;8;12;6;7;4;1;;;77;40;117;11;29;;60;33;93;17;16;;14;25;39;25;0;0;17;10;27;10;;0;3;3;3;;12;6;18;6;10;2;12;2;;31;9;40;4;4;1;29;8;37;8;6;0;6;0;0;0;0
13.09.2026;Stadtratswahl;03403000;104;104 Neues Gymnasium;1;1;986;464;0;1450;652;0;1;651;1935;436;231;667;78;31;12;9;26;20;47;8;;;149;157;306;60;34;17;8;25;6;2;1;0;1;3;0;84;69;153;33;9;5;4;1;9;1;1;2;1;3;264;146;410;51;28;8;10;12;6;7;12;12;;;;25;13;38;3;2;2;2;4;0;;;57;42;99;13;29;;87;44;131;20;24;;5;13;18;11;0;2;11;2;13;2;;3;0;3;0;;5;4;9;4;8;0;8;0;;32;15;47;3;10;2;23;4;27;4;4;2;6;0;0;2;0
13.09.2026;Stadtratswahl;03403000;105;105 BZTG Ehnernstr.;1;1;1092;301;0;1393;649;0;7;642;1902;284;153;437;45;13;3;5;24;23;36;4;;;218;320;538;141;70;19;13;36;2;7;0;6;13;3;10;85;83;168;27;8;12;4;4;7;8;3;1;3;6;225;111;336;43;23;9;8;5;3;6;7;7;;;;30;17;47;4;5;1;2;3;2;;;116;56;172;27;29;;34;28;62;11;17;;5;7;12;6;0;1;20;3;23;3;;6;0;6;0;;12;7;19;7;6;2;8;2;;34;11;45;7;3;1;3;14;17;14;5;7;12;3;0;2;2
13.09.2026;Stadtratswahl;03403000;106;106 Neues Gymnasium;1;1;1151;405;0;1556;681;0;7;674;2003;375;192;567;74;8;16;8;23;22;36;5;;;166;228;394;92;46;21;14;18;6;8;9;2;9;1;2;74;85;159;20;10;20;12;5;4;5;1;2;2;4;279;105;384;29;31;4;0;14;6;6;7;8;;;;27;12;39;1;5;1;3;1;1;;;91;65;156;22;43;;79;41;120;13;28;;16;12;28;5;3;4;17;10;27;10;;18;0;18;0;;11;6;17;6;5;8;13;8;;29;2;31;1;0;1;19;11;30;11;12;8;20;3;4;1;0
13.09.2026;Stadtratswahl;03403000;107;107 BZTG;1;1;1190;239;0;1429;552;0;10;542;1586;248;150;398;36;10;4;14;29;19;24;14;;;158;170;328;78;27;18;6;27;0;0;5;0;4;4;1;110;85;195;37;12;18;3;0;1;11;1;0;0;2;155;63;218;16;9;13;3;2;5;2;8;5;;;;22;23;45;9;6;1;7;0;0;;;122;64;186;38;26;;54;32;86;10;22;;14;1;15;0;1;0;20;7;27;7;;9;0;9;0;;16;10;26;10;5;1;6;1;;8;5;13;0;5;0;9;13;22;13;4;8;12;7;0;0;1
13.09.2026;Stadtratswahl;03403000;108;108 GS Bürgeresch;1;1;1105;339;0;1444;618;0;4;614;1832;319;231;550;72;32;13;11;24;30;40;9;;;143;166;309;52;55;17;10;14;4;1;1;1;2;6;3;53;49;102;17;6;11;4;2;4;0;1;0;0;4;264;117;381;38;21;11;6;6;8;5;13;9;;;;38;26;64;9;10;0;7;0;0;;;74;47;121;24;23;;61;47;108;21;26;;26;18;44;9;3;6;17;8;25;8;;6;2;8;2;;17;11;28;11;9;5;14;5;;24;15;39;10;4;1;19;13;32;13;6;1;7;1;0;0;0
13.09.2026;Stadtratswahl;03403000;109;109 Friseurmeisterschule Oldenburg;1;1;1210;339;0;1549;737;0;5;732;2177;466;235;701;74;44;11;8;27;30;34;7;;;162;121;283;48;32;8;12;13;1;1;0;0;3;0;3;142;63;205;17;9;9;12;2;6;2;0;3;2;1;330;200;530;48;46;30;13;15;12;14;15;7;;;;36;19;55;5;11;1;1;0;1;;;79;21;100;8;13;;96;54;150;19;35;;12;20;32;12;4;4;8;5;13;5;;3;0;3;0;;25;6;31;6;5;5;10;5;;19;13;32;11;2;0;11;3;14;3;10;8;18;6;0;0;2
13.09.2026;Stadtratswahl;03403000;110;110 GS Bürgeresch;1;1;1244;388;0;1632;673;0;8;665;1981;325;166;491;43;21;24;5;34;10;27;2;;;211;299;510;122;47;46;20;32;7;4;5;3;11;1;1;71;95;166;37;6;15;5;5;2;13;1;2;7;2;199;102;301;27;26;11;7;7;4;5;9;6;;;;39;21;60;9;4;2;5;1;0;;;99;89;188;38;51;;69;47;116;17;30;;17;14;31;5;8;1;10;4;14;4;;9;2;11;2;;14;6;20;6;10;2;12;2;;35;4;39;3;0;1;5;11;16;11;3;3;6;0;3;0;0
